name,category
Chơi thể thao,Thể thao
Âm nhạc,Giải trí
Xem phim,Giải trí
Chơi game,Giải trí
Đọc sách,Học tập
Chụp ảnh và quay video,Nghệ thuật
Mạng xã hội,Giải trí
Sáng tạo nghệ thuật,Nghệ thuật
Du lịch,Khám phá
Tình nguyện và tham gia hoạt động xã hội,Xã hội
Vẽ tranh,Nghệ thuật
"Thử thách bản thân (chạy bộ, leo núi, tham gia các cuộc thi)",Thể thao
Chế tạo mô hình,Sáng tạo
Lập trình và công nghệ,Kỹ thuật
Kể chuyện và viết lách,Nghệ thuật
Thiết kế thời trang,Nghệ thuật
Học nấu ăn,Kỹ năng sống
Học ngoại ngữ,Học tập
Thực hành yoga hoặc thiền,Sức khỏe
Khám phá khoa học và công nghệ,Khoa học
"Sưu tầm (tem, đồng xu, sách, đồ vật cổ)",Sở thích cá nhân
Tự học các kỹ năng mới (nâng cao bản thân),Phát triển cá nhân
Cắm trại,Khám phá
Nuôi thú cưng,Sở thích cá nhân
"Xây dựng mô hình (hệ thống, công trình)",Sáng tạo
"Giải đố, trò chơi trí tuệ",Giải trí
Tham gia các câu lạc bộ học thuật,Học tập
"Chơi cờ (cờ vua, cờ tướng)",Giải trí
Làm vườn,Sở thích cá nhân
Học trang trí nội thất,Sáng tạo
Làm đồ handmade,Nghệ thuật
Tham gia nhóm sách,Học tập
Cải thiện kỹ năng viết,Phát triển cá nhân
Học múa,Nghệ thuật
Làm các thí nghiệm khoa học,Khoa học
Làm video hướng dẫn,Giải trí
Chơi nhạc cụ dân tộc,Âm nhạc
Đi bộ đường dài,Thể thao
Phát triển game,Kỹ thuật
Làm đồ ăn vặt,Kỹ năng sống
Chăm sóc sức khỏe tâm lý,Sức khỏe
Chơi bóng đá,Thể thao
Tham gia các buổi hội thảo chuyên đề,Học tập
Tham gia các hoạt động học hỏi về đầu tư,Phát triển cá nhân
Sáng tác thơ,Nghệ thuật
Tham gia các buổi thi đấu thể thao,Thể thao
Xem thể thao trực tiếp,Giải trí
Học làm phim,Nghệ thuật
Chơi cờ caro,Giải trí
Tìm hiểu về các nền văn hóa,Khám phá
Tham gia hoạt động từ thiện,Xã hội
Chế tạo robot,Kỹ thuật
Học thêu và may vá,Nghệ thuật
Thực hành làm đồ trang sức,Nghệ thuật
Học chế biến món ăn truyền thống,Kỹ năng sống
